epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7327,3.45499,3.75676,1.96704,0.005,0.04478,0.01754,0.00218,3.54472,3.65728,1.64836,0.00016,0.00016,0.00016
2,26,3.18114,3.44418,1.50228,0.01167,0.10448,0.00647,0.0018,3.30926,3.57901,1.5876,0.000336634,0.000336634,0.000336634
3,37.8449,2.93401,2.93628,1.39444,0.01667,0.14925,0.01331,0.00247,3.33657,3.5186,1.53882,0.000509704,0.000509704,0.000509704
4,49.8737,2.90059,2.61061,1.33281,0.01833,0.16418,0.0113,0.00256,3.24852,3.36944,1.33092,0.00067921,0.00067921,0.00067921
5,61.6821,2.78169,2.31311,1.3374,0.01167,0.10448,0.00886,0.00254,2.93903,3.17351,1.42659,0.000845152,0.000845152,0.000845152
6,73.3528,2.62288,2.07467,1.28847,0.025,0.22388,0.06897,0.01648,3.14149,2.96959,1.42545,0.00100753,0.00100753,0.00100753
7,85.353,2.6966,2.02715,1.29665,0.035,0.31343,0.06941,0.02331,2.92792,2.76185,1.37286,0.00116634,0.00116634,0.00116634
8,97.304,2.58214,1.99445,1.28681,0.06,0.53731,0.10431,0.03085,2.86491,2.58932,1.27943,0.00132159,0.00132159,0.00132159
9,109.374,2.52004,1.85022,1.23947,0.06,0.53731,0.06938,0.01766,2.92767,2.59968,1.25775,0.00147328,0.00147328,0.00147328
10,121.279,2.52105,1.90314,1.23544,0.14329,0.07463,0.05137,0.01192,3.08209,2.57675,1.34938,0.0016214,0.0016214,0.0016214
11,133.087,2.49365,1.89092,1.28874,0.23391,0.16406,0.12238,0.02434,2.91291,2.40409,1.39337,0.00176596,0.00176596,0.00176596
12,144.951,2.50352,1.85592,1.26292,0.10884,0.22388,0.0693,0.02196,2.85795,2.40575,1.34783,0.0017822,0.0017822,0.0017822
13,156.875,2.44438,1.78846,1.22728,0.21455,0.29851,0.21517,0.06261,2.7155,1.99745,1.46084,0.0017624,0.0017624,0.0017624
14,168.895,2.44563,1.76681,1.23141,0.22693,0.41791,0.22664,0.07376,2.67001,1.97969,1.48647,0.0017426,0.0017426,0.0017426
15,180.684,2.2877,1.70383,1.20996,0.36963,0.43284,0.31596,0.10893,2.5236,1.92669,1.4262,0.0017228,0.0017228,0.0017228
16,192.313,2.26805,1.7088,1.18891,0.49253,0.40299,0.38713,0.14018,2.40758,2.14721,1.45293,0.001703,0.001703,0.001703
17,204.268,2.35788,1.7445,1.19781,0.48239,0.44776,0.39097,0.13419,2.44271,2.20995,1.4844,0.0016832,0.0016832,0.0016832
18,216.037,2.20482,1.67049,1.21594,0.44812,0.44776,0.38231,0.1299,2.34379,2.0036,1.44227,0.0016634,0.0016634,0.0016634
19,227.696,2.24871,1.6635,1.18471,0.41066,0.46269,0.33685,0.13229,2.35818,1.85875,1.43683,0.0016436,0.0016436,0.0016436
20,239.662,2.36926,1.68495,1.18511,0.39523,0.41791,0.3419,0.11309,2.46596,1.95104,1.41874,0.0016238,0.0016238,0.0016238
21,251.361,2.23036,1.67365,1.15855,0.48097,0.37344,0.33831,0.1133,2.48207,2.08418,1.41153,0.001604,0.001604,0.001604
22,263.249,2.16803,1.59111,1.16618,0.45995,0.41791,0.33154,0.11874,2.38177,2.04657,1.38297,0.0015842,0.0015842,0.0015842
23,275.036,2.2906,1.62051,1.17204,0.43189,0.49254,0.35768,0.13743,2.41262,1.82963,1.36143,0.0015644,0.0015644,0.0015644
24,286.834,2.154,1.63054,1.15772,0.44044,0.47761,0.34716,0.12569,2.44776,1.76155,1.33646,0.0015446,0.0015446,0.0015446
25,298.511,2.16912,1.63065,1.18696,0.45817,0.46269,0.40421,0.14982,2.30169,1.69444,1.35124,0.0015248,0.0015248,0.0015248
26,310.191,2.11915,1.6111,1.21569,0.57076,0.34328,0.36983,0.12692,2.30081,1.75346,1.37577,0.001505,0.001505,0.001505
27,322.154,2.23089,1.59222,1.17486,0.44169,0.49254,0.41753,0.14717,2.36429,1.66273,1.36584,0.0014852,0.0014852,0.0014852
28,333.919,2.11029,1.53388,1.1258,0.50226,0.46269,0.43537,0.1575,2.33281,1.62303,1.34657,0.0014654,0.0014654,0.0014654
29,345.611,2.11592,1.57529,1.12055,0.42725,0.56784,0.4318,0.16307,2.32086,1.63337,1.35791,0.0014456,0.0014456,0.0014456
30,357.846,2.16978,1.53684,1.12475,0.46751,0.49254,0.44916,0.16173,2.33547,1.7948,1.35162,0.0014258,0.0014258,0.0014258
31,369.35,1.98971,1.50305,1.13894,0.53016,0.49254,0.44542,0.17228,2.37608,1.86325,1.37774,0.001406,0.001406,0.001406
32,381.044,2.05823,1.52465,1.12691,0.44967,0.59701,0.43695,0.15982,2.4061,1.82162,1.40944,0.0013862,0.0013862,0.0013862
33,392.778,2.09788,1.54596,1.14993,0.42404,0.53846,0.41194,0.15423,2.4091,1.73781,1.42168,0.0013664,0.0013664,0.0013664
34,404.367,2.02813,1.5254,1.12436,0.49905,0.47582,0.41402,0.15374,2.37713,1.71069,1.419,0.0013466,0.0013466,0.0013466
35,416.315,2.04873,1.47338,1.12574,0.54632,0.46735,0.43931,0.17114,2.31244,1.57604,1.39364,0.0013268,0.0013268,0.0013268
36,427.82,1.94772,1.47213,1.12443,0.57165,0.50746,0.45874,0.16984,2.30633,1.57044,1.38948,0.001307,0.001307,0.001307
37,439.626,2.05546,1.44794,1.12107,0.46673,0.47761,0.40534,0.16019,2.30406,1.58246,1.3571,0.0012872,0.0012872,0.0012872
38,451.206,1.97411,1.40096,1.10007,0.47254,0.49254,0.40992,0.15496,2.27118,1.60885,1.33151,0.0012674,0.0012674,0.0012674
39,462.963,1.99087,1.4645,1.11495,0.5606,0.43284,0.41047,0.16445,2.26164,1.57481,1.3308,0.0012476,0.0012476,0.0012476
40,474.981,2.03722,1.43361,1.10575,0.55069,0.43284,0.41858,0.16637,2.312,1.55909,1.34729,0.0012278,0.0012278,0.0012278
41,486.851,2.03062,1.42957,1.1096,0.53051,0.47761,0.42747,0.16274,2.34947,1.53263,1.37793,0.001208,0.001208,0.001208
42,498.74,1.99827,1.42881,1.09438,0.50783,0.44776,0.40354,0.15895,2.30567,1.48779,1.36597,0.0011882,0.0011882,0.0011882
43,510.868,2.01403,1.45834,1.12428,0.39179,0.47761,0.39442,0.15911,2.33483,1.56562,1.36831,0.0011684,0.0011684,0.0011684
44,522.791,1.98276,1.38943,1.09988,0.57115,0.43284,0.44949,0.16557,2.36559,1.5838,1.37786,0.0011486,0.0011486,0.0011486
45,534.622,1.96043,1.38327,1.09415,0.59215,0.49254,0.49265,0.16579,2.39968,1.51897,1.43335,0.0011288,0.0011288,0.0011288
46,546.404,1.85587,1.34484,1.08192,0.52641,0.50746,0.4975,0.1679,2.39665,1.54793,1.43261,0.001109,0.001109,0.001109
47,558.143,1.84661,1.36392,1.10054,0.63704,0.50746,0.49423,0.17504,2.38097,1.5259,1.44143,0.0010892,0.0010892,0.0010892
48,569.775,1.95028,1.46011,1.1229,0.54916,0.46269,0.47215,0.17643,2.31555,1.54133,1.36594,0.0010694,0.0010694,0.0010694
49,581.503,1.88062,1.36174,1.08084,0.44499,0.43284,0.40462,0.16176,2.28065,1.5822,1.35412,0.0010496,0.0010496,0.0010496
50,593.339,1.95841,1.41154,1.09048,0.4849,0.49254,0.41958,0.15618,2.30733,1.65557,1.39097,0.0010298,0.0010298,0.0010298
51,605.391,1.94855,1.37934,1.06469,0.55125,0.41791,0.42816,0.16067,2.32233,1.68685,1.35226,0.00101,0.00101,0.00101
52,617.187,1.90921,1.36646,1.07112,0.42321,0.50379,0.42354,0.15652,2.30633,1.73418,1.34335,0.0009902,0.0009902,0.0009902
53,628.866,1.82815,1.33133,1.07096,0.56199,0.40299,0.40051,0.15983,2.31798,1.64755,1.33884,0.0009704,0.0009704,0.0009704
54,640.858,1.93996,1.34713,1.08371,0.60209,0.37313,0.41029,0.15091,2.33708,1.65358,1.34174,0.0009506,0.0009506,0.0009506
55,652.661,1.83501,1.30729,1.0662,0.50536,0.44228,0.40398,0.14968,2.3531,1.61937,1.3432,0.0009308,0.0009308,0.0009308
56,664.618,1.82334,1.28149,1.04927,0.551,0.40295,0.42527,0.16407,2.34561,1.60605,1.35766,0.000911,0.000911,0.000911
57,676.465,1.85466,1.33226,1.08958,0.48047,0.44176,0.42656,0.16624,2.31379,1.56223,1.36445,0.0008912,0.0008912,0.0008912
58,687.967,1.85579,1.26936,1.05774,0.54527,0.43284,0.42478,0.15884,2.34908,1.55974,1.41291,0.0008714,0.0008714,0.0008714
59,699.442,1.81606,1.31061,1.08293,0.48873,0.39954,0.40563,0.14388,2.38747,1.58084,1.40724,0.0008516,0.0008516,0.0008516
60,711.27,1.92046,1.34711,1.06691,0.50857,0.44776,0.40022,0.14466,2.35228,1.5734,1.39361,0.0008318,0.0008318,0.0008318
61,723.103,1.82831,1.27946,1.06242,0.5081,0.47761,0.42388,0.14858,2.2905,1.55788,1.36027,0.000812,0.000812,0.000812
62,734.972,1.78211,1.2818,1.05843,0.55401,0.38806,0.45587,0.17176,2.25124,1.54524,1.34158,0.0007922,0.0007922,0.0007922
63,746.69,1.79459,1.29501,1.05989,0.64044,0.35821,0.45702,0.17707,2.27398,1.59214,1.35864,0.0007724,0.0007724,0.0007724
64,758.712,1.85391,1.28233,1.07865,0.53191,0.42407,0.47736,0.17363,2.31715,1.63129,1.41829,0.0007526,0.0007526,0.0007526
65,770.583,1.79341,1.29536,1.06165,0.53055,0.44776,0.49643,0.176,2.39832,1.67206,1.46203,0.0007328,0.0007328,0.0007328
66,782.016,1.70081,1.24526,1.06344,0.54701,0.46867,0.48203,0.17281,2.41761,1.67989,1.45211,0.000713,0.000713,0.000713
67,793.719,1.79825,1.25443,1.06446,0.52914,0.50746,0.44751,0.15939,2.43109,1.55636,1.48933,0.0006932,0.0006932,0.0006932
68,805.352,1.79662,1.26153,1.06569,0.53494,0.49254,0.43678,0.15209,2.43509,1.51917,1.47884,0.0006734,0.0006734,0.0006734
69,817.034,1.76715,1.26145,1.05042,0.47956,0.41791,0.43032,0.14808,2.4302,1.53204,1.47808,0.0006536,0.0006536,0.0006536
70,828.687,1.76463,1.2248,1.04583,0.52861,0.37313,0.38387,0.1441,2.43278,1.49896,1.46571,0.0006338,0.0006338,0.0006338
71,840.609,1.77334,1.23138,1.03492,0.49013,0.46269,0.45174,0.16193,2.37503,1.50507,1.43056,0.000614,0.000614,0.000614
72,852.3,1.71614,1.20369,1.04125,0.46966,0.46262,0.45369,0.16118,2.38651,1.51187,1.43966,0.0005942,0.0005942,0.0005942
73,864.02,1.75742,1.20054,1.03814,0.42614,0.46269,0.42319,0.15901,2.40545,1.51769,1.47284,0.0005744,0.0005744,0.0005744
74,875.668,1.73373,1.25459,1.05178,0.40449,0.45625,0.40335,0.14901,2.40452,1.58505,1.49166,0.0005546,0.0005546,0.0005546
75,887.688,1.71593,1.16971,1.02491,0.48883,0.38806,0.37008,0.14003,2.38262,1.5974,1.50221,0.0005348,0.0005348,0.0005348
76,899.451,1.70587,1.18868,1.02682,0.53309,0.40299,0.37846,0.14627,2.36563,1.50364,1.47574,0.000515,0.000515,0.000515
77,911.369,1.6895,1.17392,1.01828,0.49224,0.41791,0.38783,0.15901,2.33869,1.47893,1.44816,0.0004952,0.0004952,0.0004952
78,923.082,1.69291,1.15686,1.0314,0.4306,0.46269,0.40011,0.16511,2.28524,1.46322,1.37964,0.0004754,0.0004754,0.0004754
79,934.887,1.70443,1.16384,1.02855,0.42115,0.46269,0.37086,0.14875,2.27273,1.46658,1.3791,0.0004556,0.0004556,0.0004556
80,946.504,1.69347,1.17943,1.03218,0.45551,0.46199,0.39364,0.14243,2.30283,1.50243,1.3901,0.0004358,0.0004358,0.0004358
81,958.255,1.70651,1.18717,1.02964,0.4807,0.46269,0.40328,0.14765,2.30145,1.50342,1.38666,0.000416,0.000416,0.000416
82,970.088,1.62961,1.13344,1.01408,0.41839,0.50466,0.39003,0.14058,2.3437,1.53289,1.39796,0.0003962,0.0003962,0.0003962
83,981.834,1.67725,1.17962,1.01399,0.41772,0.47761,0.39873,0.13677,2.34813,1.63896,1.41484,0.0003764,0.0003764,0.0003764
84,993.634,1.69194,1.13544,1.03529,0.42786,0.46269,0.3692,0.13485,2.32181,1.62809,1.42481,0.0003566,0.0003566,0.0003566
85,1005.49,1.70241,1.16438,1.02812,0.44891,0.46202,0.36219,0.13548,2.2955,1.64756,1.41838,0.0003368,0.0003368,0.0003368
86,1017.23,1.63931,1.12728,1.02671,0.4811,0.41791,0.351,0.13998,2.31909,1.63183,1.44116,0.000317,0.000317,0.000317
87,1028.83,1.6347,1.11222,1.03341,0.53468,0.40299,0.4077,0.15052,2.37778,1.64612,1.49419,0.0002972,0.0002972,0.0002972
88,1040.6,1.6749,1.13337,1.01881,0.46938,0.50746,0.43534,0.14989,2.35108,1.67939,1.46848,0.0002774,0.0002774,0.0002774
89,1052.06,1.65133,1.13791,1.02372,0.45938,0.47761,0.45555,0.14823,2.33611,1.69426,1.45928,0.0002576,0.0002576,0.0002576
90,1064.07,1.6539,1.10195,1.0167,0.40391,0.50746,0.41124,0.13742,2.36378,1.73807,1.46123,0.0002378,0.0002378,0.0002378
91,1075.37,1.61511,1.11988,1.03923,0.4331,0.41791,0.37712,0.13369,2.35991,1.74539,1.46518,0.000218,0.000218,0.000218
92,1086.41,1.617,1.1746,1.03968,0.4119,0.49254,0.37876,0.13667,2.34828,1.74606,1.4559,0.0001982,0.0001982,0.0001982
93,1097.56,1.56061,1.07613,1.03067,0.45851,0.37313,0.34985,0.13563,2.3267,1.70506,1.42701,0.0001784,0.0001784,0.0001784
94,1108.65,1.59489,1.09679,1.02092,0.36073,0.44776,0.32867,0.13442,2.31807,1.66481,1.42206,0.0001586,0.0001586,0.0001586
95,1119.62,1.58898,1.09505,1.03861,0.46407,0.38806,0.34485,0.14162,2.31913,1.62511,1.42476,0.0001388,0.0001388,0.0001388
96,1130.6,1.5718,1.08178,1.01929,0.44662,0.40299,0.36149,0.15249,2.31515,1.59493,1.42119,0.000119,0.000119,0.000119
97,1141.62,1.61579,1.12226,1.02237,0.49064,0.40299,0.37257,0.15692,2.30708,1.57759,1.41728,9.92e-05,9.92e-05,9.92e-05
98,1152.67,1.57357,1.08906,1.03272,0.46917,0.409,0.34657,0.15362,2.3093,1.57789,1.42313,7.94e-05,7.94e-05,7.94e-05
99,1163.67,1.59977,1.10966,1.02857,0.48771,0.41212,0.36206,0.15568,2.3367,1.55943,1.45081,5.96e-05,5.96e-05,5.96e-05
100,1174.67,1.54387,1.06341,1.00949,0.48374,0.40299,0.36448,0.15528,2.34728,1.56348,1.45677,3.98e-05,3.98e-05,3.98e-05
